Borough,Vietnamese Restaurant,Falafel Restaurant,French Restaurant,Seafood Restaurant,Italian Restaurant,Restaurant,German Restaurant,Sushi Restaurant,Modern European Restaurant,Chinese Restaurant,South American Restaurant,English Restaurant,American Restaurant,Ramen Restaurant,Indian Restaurant,Mediterranean Restaurant,Empanada Restaurant,Portuguese Restaurant,Turkish Restaurant,Spanish Restaurant,Japanese Restaurant,Szechuan Restaurant,Vegetarian / Vegan Restaurant,Asian Restaurant,Cantonese Restaurant,Tapas Restaurant,Israeli Restaurant,Lebanese Restaurant,Scandinavian Restaurant,North Indian Restaurant,Korean Restaurant,Eastern European Restaurant,Middle Eastern Restaurant,Kebab Restaurant,Argentinian Restaurant,Jewish Restaurant,Arepa Restaurant,Afghan Restaurant,Austrian Restaurant,Udon Restaurant,Caucasian Restaurant,Mexican Restaurant,Fast Food Restaurant,Greek Restaurant,Brazilian Restaurant,Thai Restaurant,Latin American Restaurant,Dim Sum Restaurant,Belgian Restaurant,Malay Restaurant,Okonomiyaki Restaurant,Peruvian Restaurant,Yoshoku Restaurant,Ethiopian Restaurant,Paella Restaurant,Persian Restaurant,New American Restaurant,Caribbean Restaurant,South Indian Restaurant,Sri Lankan Restaurant,Southern / Soul Food Restaurant,Polish Restaurant,Doner Restaurant,African Restaurant,Taiwanese Restaurant,Dumpling Restaurant,Yakitori Restaurant,Veneto Restaurant,Moroccan Restaurant,Ukrainian Restaurant,Bulgarian Restaurant,Hunan Restaurant,Shaanxi Restaurant,Indonesian Restaurant,Cajun / Creole Restaurant,Filipino Restaurant,Australian Restaurant,Iraqi Restaurant,Pakistani Restaurant,Halal Restaurant,Scottish Restaurant,Russian Restaurant,Molecular Gastronomy Restaurant,lat,long,Nearby Venues Count
Lambeth,0,0,2,0,1,8,0,0,2,0,1,1,0,1,4,2,0,2,1,0,4,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.4607,-0.1163,74
Lewisham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.4452,-0.0209,33
Merton,1,0,0,0,4,1,0,3,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.4014,-0.1958,74
Newham,0,0,0,0,2,3,0,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5077,0.0469,77
Redbridge,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5590,0.0741,48
Richmond upon Thames,0,0,4,3,9,4,2,0,0,2,0,1,1,0,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.4479,-0.3260,76
Southwark,4,0,3,2,7,8,1,0,2,0,0,5,0,2,3,1,0,0,2,3,6,2,3,1,1,1,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5035,-0.0804,77
Sutton,0,0,1,0,4,1,0,0,0,2,0,1,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.3618,-0.1945,67
Tower Hamlets,0,1,0,0,6,4,0,2,1,3,0,4,0,1,7,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51.5099,-0.0059,84
Waltham Forest,0,0,0,0,2,3,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,2,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51.5908,-0.0134,83
Wandsworth,0,0,4,1,6,3,0,0,0,2,0,1,0,0,3,3,0,0,1,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.4567,-0.1910,84
Westminster,0,0,11,7,11,13,0,1,2,3,0,2,3,0,9,3,0,0,0,1,5,0,1,2,1,2,1,0,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,51.4973,-0.1372,85
